system_name,county,state,active,system_type,address,city,zipcode,system_no
WHITETHORN ELEMENTARY SCHOOL,HUMBOLDT,CA,1,TC,SCHOOL,WHITETHORN,95489,1200522
CASTERLIN SCHOOL,HUMBOLDT,CA,1,TC,24790 ALDERPOINT ROAD,BLOCKSBURG,95514,1200546
CUDDEBACK GRAMMAR SCHOOL,HUMBOLDT,CA,1,TC,P.O. BOX 7,CARLOTTA,95528,1200681
MATTOLE ELEMENTARY SCHOOL,HUMBOLDT,CA,1,TC,P.O. BOX 32,PETROLIA,95558,1200684
BRIDGEVILLE ELEM. SCHOOL,HUMBOLDT,CA,1,TC,P.O. Box 98,BRIDGEVILLE,95526,1200778
KNEELAND SCHOOL,HUMBOLDT,CA,1,TC,9313 KNEELAND ROAD,KNEELAND,95549,1200817
MAGNOLIA UNION SCHOOL,IMPERIAL,CA,1,TC,4502 Casey Rd,BRAWLEY,92227,1300553
MEADOWS UNION ELEMENTARY SCHOOL,IMPERIAL,CA,1,TC,2059 Bowker Rd,EL CENTRO,92243,1300554
MULBERRY UNION SCHOOL,IMPERIAL,CA,1,TC,1391 RUTHERFORD Rd,BRAWLEY,92227,1300556
PINE UNION SCHOOL,IMPERIAL,CA,1,TC,3295 Holt Rd,HOLTVILLE,92250,1300560
MCCABE UNION SCHOOL,IMPERIAL,CA,1,TC,701 W Mc Cabe Rd,EL CENTRO,92243,1300579
OLD EUCALYPTUS SCHOOLHOUSE,IMPERIAL,CA,1,NC,796 W Evan Hewes Hwy,EL CENTRO,92243,1300655
ROUND VALLEY SCHOOL,INYO,CA,1,TC,"300 N. Round Valley Rd, Bishop, Ca 93514",Bishop,93514,1400019
PALISADE GLACIER HIGH SCHOOL,INYO,CA,1,TC,"P.O. Box 998, Big Pine, CA 93513",Big Pine,93513,1400522
DI GIORGIO SCHOOL WATER SYSTEM,KERN,CA,1,TC,19405 BUENA VISTA BLVD,ARVIN,93203,1502068
EL TEJON MIDDLE SCHOOL,KERN,CA,1,TC,P. O. BOX 876,LEBEC,93243,1502074
LAKESIDE SCHOOL,KERN,CA,1,TC,14535 OLD RIVER RD.,BAKERSFIELD,93311,1502154
POND SCHOOL WATER SYSTEM,KERN,CA,1,TC,P.O. BOX 1527,POND,93280,1502221
RIO BRAVO GREELEY SCHOOL WATER SYSTEM,KERN,CA,1,TC,6601 ENOS LANE,BAKERSFIELD,93312,1502229
ROSAMOND SCHOOL WATER SYSTEM,KERN,CA,1,TC,P.O. BOX CC,ROSAMOND,93560,1502231
SOUTH FORK ELEMENTARY SCHOOL WATER SYS,KERN,CA,1,TC,P.O. BOX 1239,WELDON,93283,1502260
PIUTE MOUNTAIN SCHOOL WATER,KERN,CA,1,TC,STAR ROUTE BOX 64-B,CALIENTE,93518,1502607
FRAZIER MOUNTAIN HIGH SCHOOL,KERN,CA,1,TC,14427 LEBEC ROAD,LEBEC,93243,1503140
SOUTH FORK MIDDLE SCHOOL,KERN,CA,1,TC,6401 FAY RANCH ROAD,WELDON,93283,1503368
PEAK TO PEAK MOUNTAIN CHARTER SCHOOL WS,KERN,CA,1,TC,P.O. BOX W,PINE MOUNTAIN CLUB,93222,1503683
HANFORD CHRISTIAN SCHOOL,KINGS,CA,1,TC,11948 FLINT AVE,HANFORD,93230,1600009
PIONEER ELEMENTARY SCHOOL,KINGS,CA,1,TC,8810 14TH AVE,HANFORD,93230,1600011
LAKESIDE ELEMENTARY SCHOOL,KINGS,CA,1,TC,9100 JERSEY AVE,HANFORD,93230,1600013
KINGS RIVER HARDWICK SCHOOL,KINGS,CA,1,TC,10300 EXCELSIOR AVE,HANFORD,93230,1600015
ISLAND UNION SCHOOL,KINGS,CA,1,TC,7799 21ST AVE,LEMOORE,93245,1600017
RICHMOND ELEMENTARY SCHOOL,LASSEN,CA,1,TC,700-585 Richmond Road E.,SUSANVILLE,96130,1800573
JOHNSTONVILLE ELEMENTARY SCHOOL,LASSEN,CA,1,TC,704-795 Bangham Lane,SUSANVILLE,96130,1800574
SHAFFER ELEMENTARY SCHOOL,LASSEN,CA,1,TC,,LITCHFIELD,96117,1800575
LONG VALLEY CHARTER SCHOOL,LASSEN,CA,1,TC,436-965 Susan Drive,DOYLE,96109,1800576
JANESVILLE ELEMENTARY SCHOOL,LASSEN,CA,1,TC,Downtown Janesville,JANESVILLE,96114,1800577
ILEAD AGUA DULCE CHARTER SCHOOL,LOS ANGELES,CA,1,TC,Acton-Agua Dulce Unified School Dist,AGUA DULCE,93510,1900707
DEL SUR SCHOOL/WESTSIDE UNION DISTRICT,LOS ANGELES,CA,1,TC,Westside Union School District,LANCASTER,93536,1900750
EASTSIDE UNION SCHOOL DISTRICT,LOS ANGELES,CA,1,TC,Eastside Union School District,LANCASTER,93535,1900751
HUGHES-ELIZABETH LAKE UNIFIED SCHOOL DIS,LOS ANGELES,CA,1,TC,Hughes-Elizabeth Lakes Union Sch Dist,LAKE HUGHES,93532,1900886
HAMILTON SCHOOL,RIVERSIDE,CA,1,TC,57550 Mitchell RD,Anza,92539,3301309
COTTONWOOD SCHOOL,RIVERSIDE,CA,1,TC,44260 Sage RD,Sage,92343,3301308
"CVUSD, WESTSIDE SCHOOL",RIVERSIDE,CA,1,TC,82225 Airport Blvd,Thermal,92274,3301153
LIBERTY HIGH SCHOOL,MADERA,CA,1,TC,12220 RD 36,MADERA,93636,2000150
LINCOLN HIGH SCHOOL FARM,PLACER,CA,1,TC,600 6TH STREET,,,3107342
PENRYN OAKS PRESCHOOL,PLACER,CA,1,TC,3415 PENRYN RD,LOOMIS,95650,3103259
OPHIR ELEMENTARY SCHOOL WATER SYSTEM,PLACER,CA,1,TC,1373 LOZANOS RD,NEWCASTLE,95658,3100083
LIVE OAK WALDORF SCHOOL,PLACER,CA,1,TC,410 CROTHER RD,APPLEGATE,95703,3100072
YOSEMITE HIGH SCHOOL,MADERA,CA,1,TC,50200 ROAD 427,OAKHURST,93644,2000567
DAIRYLAND SCHOOL,MADERA,CA,1,TC,12861 AVENUE 18 1/2,CHOWCHILLA,93610,2000597
ALVIEW SCHOOL,MADERA,CA,1,TC,20513 ROAD 4,CHOWCHILLA,93610,2000598
HOWARD ELEMENTARY SCHOOL,MADERA,CA,1,TC,13878 ROAD 21 1/2,MADERA,93637,2000600
LA VINA SCHOOL,MADERA,CA,1,TC,8594 ROAD 23,MADERA,93637,2000601
RIPPERDAN COMMUNITY DAY SCHOOL,MADERA,CA,1,TC,26133 AVENUE 7,MADERA,93637,2000602
SPRING VALLEY SCHOOL,MADERA,CA,1,TC,46655 ROAD 200,O'NEALS,93645,2000607
COARSEGOLD SCHOOL,MADERA,CA,1,TC,45426 ROAD 415,COARSEGOLD,93614,2000611
NORTH FORK ELEMENTARY SCHOOL,MADERA,CA,1,TC,33087 ROAD 228,NORTH FORK,93643,2000612
WASUMA SCHOOL,MADERA,CA,1,TC,43109 HIGHWAY 49,AHWAHNEE,93601,2000616
CREATIVE KIDS PRESCHOOL WATER SYSTEM,NEVADA,CA,1,TC,12108 E BENNETT ST,GRASS VALLEY,95945,2902398
SHADY CREEK OUTDOOR SCHOOL,NEVADA,CA,1,NC,18601 PATHFINDER WY,NEVADA CITY,95959,2901994
DONNER TRAIL ELEMENTARY SCHOOL,NEVADA,CA,1,TC,52755 DONNER PASS RD,SODA SPRINGS,95728,2901208
TWIN RIDGES OAK TREE SCHOOL,NEVADA,CA,1,TC,18847 OAK TREE RD,NORTH SAN JUAN,95960,2900593
TWIN RIDGES GRIZZLY HILL SCHOOL,NEVADA,CA,1,TC,16661 OLD MILL RD,NORTH SAN JUAN,95960,2900578
DIXIELAND ELEMENTARY SCHOOL,MADERA,CA,1,TC,18840 ROAD 19,MADERA,93637,2000760
CLEAR CREEK SCHOOL,NEVADA,CA,1,TC,17700 MCCOURTNEY RD,GRASS VALLEY,95949,2900536
PLEASANT RIDGE SCHOOL,NEVADA,CA,1,TC,16229 DUGGANS RD,GRASS VALLEY,95945,2900535
RIVERGOLD ELEMENTARY SCHOOL,MADERA,CA,1,TC,31800 ROAD 400,COARSEGOLD,93614,2000844
SIERRA VIEW SCHOOL,MADERA,CA,1,TC,16436 PAULA RD,MADERA,93638,2000846
MINARETS HIGH SCHOOL,MADERA,CA,1,TC,45077 ROAD 200,ONEALS,93645,2000947
WESTERN SIERRA CHARTER SCHOOLS,MADERA,CA,1,NC,41267 HIGHWAY 41,OAKHURST,93644,2000957
HOWELL MOUNTAIN SCHOOL,NAPA,CA,1,TC,525 WHITE COTTAGE RD N,ANGWIN,94508,2800970
NVUSD: MT. GEORGE SCHOOL,NAPA,CA,1,TC,1019 2ND AVE,NAPA,94558,2800848
NVUSD: CARNEROS SCHOOL,NAPA,CA,1,TC,1680 LOS CARNEROS AVE,NAPA,94559,2800847
NAPA COUNTY SCHOOLS: POPE VALLEY,NAPA,CA,1,TC,6200 POPE VALLEY RD,POPE VALLEY,94567,2800840
GOLDEN VALLEY HIGH SCHOOL,MADERA,CA,1,NP,37479 Avenue 12,Madera,93638,2090003
MINARETS HIGH SCHOOL,MADERA,CA,1,NP,P.O. Box 400,North Fork,93643,2090008
TOMALES HIGH SCHOOL,MARIN,CA,1,TC,3850 Irvin Lane,TOMALES,94971,2100538
TOMALES ELEM & MIDDLE SCHOOL,MARIN,CA,1,TC,40 John Street,TOMALES,94971,2100560
SHORELINE SCHOOL DIST: BUS GARAGE,MARIN,CA,1,NC,26701 Highway 1,TOMALES,94971,2100577
NICASIO SCHOOL,MARIN,CA,1,TC,NICASIO SCHOOL,NICASIO,94946,2100582
GREEN MEADOWS OUTDOOR SCHOOL,MARIPOSA,CA,1,NC,P.O. Box 69,FISH CAMP,93623,2203059
MCPR - DARRAH SCHOOL PARK,MARIPOSA,CA,1,NC,4639 BEN HUR ROAD,MARIPOSA,95338,2204101
MUSD - SIERRA FOOTHILL CHARTER SCHOOL,MARIPOSA,CA,1,TC,4952 SCHOOLHOUSE RD.,MARIPOSA,95338,2210907
MUSD -COULTERVILLE - GREELEY HILL SCHOOL,MARIPOSA,CA,1,TC,"10326 Fiske Rd., Greeley Hill Route",COULTERVILLE,95311,2210908
MUSD - MARIPOSA JUNIOR HIGH SCHOOL,MARIPOSA,CA,1,TC,5171 Silva Rd.,MARIPOSA,95338,2210909
MUSD - WOODLAND ELEMENTARY SCHOOL,MARIPOSA,CA,1,TC,3394 Woodland Dr.,MARIPOSA,95338,2210910
CENTRAL BAY HIGH SCHOOL WS,MONTEREY,CA,1,TC,17500 PESANTE RD,SALINAS,93907,2702490
CAPTAIN COOPER SCHOOL WS,MONTEREY,CA,1,TC,HWY 1,BIG SUR,93920,2702322
MISSION SCHOOL WS,MONTEREY,CA,1,TC,36825 FOOTHILL RD,SOLEDAD,93960,2702317
PACIFIC VALLEY SCHOOL WS,MONTEREY,CA,1,TC,PACIFIC VALLEY #1,BIG SUR,93920,2702254
GRAVES SCHOOL WS,MONTEREY,CA,1,TC,HWY 183,SALINAS,93907,2702180
MENDOCINO SCHOOL DISTRICT- MENDOCINO,MENDOCINO,CA,1,TC,44141 LITTLE LAKE ROAD,MENDOCINO,95460,2300584
INN AT SCHOOLHOUSE CREEK,MENDOCINO,CA,1,NC,7051 N. HWY 1,LITTLE RIVER,95456,2300625
POTTER VALLEY SCHOOL DISTRICT,MENDOCINO,CA,1,TC,10401 MAIN STREET,POTTER VALLEY,95469,2300755
ANDERSON VALLEY HIGH SCHOOL,MENDOCINO,CA,1,TC,18200 MOUNTAIN VIEW ROAD,BOONVILLE,95415,2300764
ANDERSON VALLEY ELEMENTARY SCHOOL,MENDOCINO,CA,1,TC,12300 ANDERSON VALLEY WAY,BOONVILLE,95415,2300770
LEGGETT VALLEY SCHOOL,MENDOCINO,CA,1,TC,1 SCHOOL WAY,LEGGETT,95585,2300785
WASHINGTON  SCHOOL WS,MONTEREY,CA,1,TC,340 CORRAL DE TIERRA RD,SALINAS,93908,2701221
