Agency Name,County Served,State,active,Type,ADDRESS,CITY,ZIP,System No
TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,CA,1,C,2399 East 14th Street SPC 28,SAN LEANDRO,94577,103041
SHAY CREEK SUMMER HOME TRACT,ALPINE,CA,1,NC,PO BOX 149,MARKLEEVILLE,96120,202513
SIERRA PINES MOBILE HOME PARK,ALPINE,CA,1,C,PO BOX 1708,GARDNERVILLE,89410,202522
TABEAU MOBILE HOME PARK,AMADOR,CA,1,C,20521 Highway 88,Pine Grove,95665,300024
BEAR RIVER SUMMER HOME TRACT,AMADOR,CA,1,NC,Pardoes Rd,Pioneer,95666,300065
E. SILVER LAKE HOMEOWNERS,AMADOR,CA,1,NC,Off Kit Carson Rd,Silver Lake,95666,300070
SO. SILVER LAKE HOMEOWNERS,AMADOR,CA,1,NC,Highway 88,Silver Lake,95644,300074
OROVILLE MOBILE HOME PARK,BUTTE,CA,1,C,4588 PACIFIC HEIGHTS Rd,OROVILLE,95965,400019
MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,BUTTE,CA,1,C,FOREST RANCH SNOW Mt,FOREST RANCH,95942,400090
DUNROVIN MOBILE HOME VILLAGE,CALAVERAS,CA,1,C,395 STANLEY RD,WEST POINT,95255,500068
RIVERVIEW MOBILE HOMES,CONTRA COSTA,CA,1,C,1526 WILLOW PASS RD,PITTSBURG,94565,707553
SANDY POINT MOBILE HOME PARK,CONTRA COSTA,CA,1,C,5625 SANDMOUND RD,BETHEL ISLAND,94511,707597
CAMINO MOBILEHOME,CONTRA COSTA,CA,1,C,14530 BYRON HWY,BYRON,94514,707598
WILLOW MOBILE HOME PARK,CONTRA COSTA,CA,1,C,3656 WILLOW RD,BETHEL ISLAND,94511,707613
BUTTE COURT MOBILE HOME PARK,DEL NORTE,CA,1,C,1010 Butte Street,MATHER,95655,800603
LAS PALMAS MOBILE HOME PARK,DEL NORTE,CA,1,C,,CRESCENT CITY,95531,800700
JED SMITH HOMEOWNERS ASSN.,DEL NORTE,CA,1,C,"Phil Jeffrey, Treasurer",CRESCENT CITY,95531,800825
TAMARACK PARK HOMEOWNERS ASSOC,EL DORADO,CA,1,NC,HIGHWAY 50,TWIN BRIDGES,95735,900549
GERLE CREEK SUMMER HOMES,EL DORADO,CA,1,NC,WENTWORTH SPRINGS RD,GEORGETOWN,95634,901250
RUBYS VALLEY CARE HOME,FRESNO,CA,1,C,9919 S ELM,FRESNO,93706,1000200
GREEN ACRES MOBILE HOME ESTATE,FRESNO,CA,1,C,3051 N MOSSWOOD,FRESNO,93722,1000229
SHADY LAKES MOBILE HOME PARK,FRESNO,CA,1,C,5665 S CHESTNUT,FRESNO,93725,1000244
MT ARARAT MOBILE HOME PARK,FRESNO,CA,1,C,33751 POWERHOUSE RD,AUBERRY,93602,1000257
DRIFTWOOD MOBILEHOME PARK,FRESNO,CA,1,NC,32303 TRIMMER SPRINGS RD,SANGER,93657,1000258
MARY LOU MOBILE HOME PARK,FRESNO,CA,1,C,33671 SJ&E RD,AUBERRY,93602,1000265
KINGS CANYON MOBILE HOME PARK,FRESNO,CA,1,C,35671 E KINGS CANYON,DUNLAP,93621,1000267
THREE PALMS MOBILEHOME PARK,FRESNO,CA,1,C,1941 N GOLDEN STATE BLVD,FRESNO,93705,1000299
RIVERBEND MOBILE HOME & RV PARK,FRESNO,CA,1,C,17604 E KINGS CANYON RD,SANGER,93657,1000426
SHANT BHAVAN PUNJABI FUNERAL HOME,FRESNO,CA,1,NC,,,,1000592
WILLOWS MOBILE HOME COMMUNITY & RV PARK,GLENN,CA,1,C,6155 Highway 162 West,WILLOWS,95988,1100237
BEACH CREEK MOBILE HOME PARK,HUMBOLDT,CA,1,C,6934 Seaview Dr.,EUREKA,95503,1200643
RIVERBEND MOBILE HOME PARK,HUMBOLDT,CA,1,C,P.O. Box 192,MAD RIVER,95552,1200687
COCO PALMS MOBILE HOME PARK,IMPERIAL,CA,1,NC,1 Mi West Of Hwy 86,PALO VERDE,92266,1300540
